scenario_name,policy,prediction_algorithm,cost_estimate,cost_instance_hours,sla_violation_rate,tail_latency_p99_ms,resource_efficiency,steps,qps_scale,sla_threshold_ms,boot_delay_steps
main_controlled,static,static,272.5,218.0,0.031825,1810.4413,0.3839,1090,1.0,2300.0,2
main_controlled,reactive,reactive,116.2917,93.0333,0.052374,2661.71,0.5458,1090,1.0,2300.0,2
main_controlled,util_base,util_base,149.0208,119.2167,0.008146,1462.6362,0.4248,1090,1.0,2300.0,2
main_controlled,sla_required_capacity,required_capacity,111.4167,89.1333,0.003182,1525.2104,0.5359,1090,1.0,2300.0,2
main_controlled,forecast_only,forecast_only,622.1667,497.7333,0.0,627.44,0.1382,1090,1.0,2300.0,2
main_controlled,sla_aware_tuned,heuristic_risk,264.2917,211.4333,0.001004,636.07,0.2385,1090,1.0,2300.0,2
main_controlled,sla_aware_ema_tuned,ema_forecast,250.6875,200.55,0.001004,636.9,0.2638,1090,1.0,2300.0,2
harder_qps,static,static,272.5,218.0,0.657333,21301.0563,0.5107,1090,1.35,2300.0,2
harder_qps,reactive,reactive,153.4583,122.7667,0.051285,2896.6446,0.5746,1090,1.35,2300.0,2
harder_qps,util_base,util_base,201.7083,161.3667,0.005704,1799.9173,0.4295,1090,1.35,2300.0,2
harder_qps,sla_required_capacity,required_capacity,146.125,116.9,0.006789,1940.9855,0.5624,1090,1.35,2300.0,2
harder_qps,forecast_only,forecast_only,645.625,516.5,0.0,627.44,0.1698,1090,1.35,2300.0,2
harder_qps,sla_aware_tuned,heuristic_risk,349.0,279.2,0.0,631.465,0.2414,1090,1.35,2300.0,2
harder_qps,sla_aware_ema_tuned,ema_forecast,329.8125,263.85,0.0,636.07,0.2695,1090,1.35,2300.0,2
harder_boot,static,static,272.5,218.0,0.031825,1810.4413,0.3839,1090,1.0,2300.0,4
harder_boot,reactive,reactive,142.5417,114.0333,0.042127,2579.7458,0.5102,1090,1.0,2300.0,4
harder_boot,util_base,util_base,159.6042,127.6833,0.008146,1534.6591,0.4041,1090,1.0,2300.0,4
harder_boot,sla_required_capacity,required_capacity,119.6667,95.7333,0.01738,2067.9145,0.5174,1090,1.0,2300.0,4
harder_boot,forecast_only,forecast_only,618.0625,494.45,0.0,627.44,0.1409,1090,1.0,2300.0,4
harder_boot,sla_aware_tuned,heuristic_risk,262.7917,210.2333,0.0,636.07,0.2372,1090,1.0,2300.0,4
harder_boot,sla_aware_ema_tuned,ema_forecast,250.5,200.4,0.0,636.9,0.2609,1090,1.0,2300.0,4
harder_capacity,static,static,272.5,218.0,0.031825,1810.4413,0.3839,1090,1.0,2300.0,2
harder_capacity,reactive,reactive,116.2917,93.0333,0.052374,2661.71,0.5458,1090,1.0,2300.0,2
harder_capacity,util_base,util_base,149.0208,119.2167,0.008146,1462.6362,0.4248,1090,1.0,2300.0,2
harder_capacity,sla_required_capacity,required_capacity,111.4167,89.1333,0.003182,1525.2104,0.5359,1090,1.0,2300.0,2
harder_capacity,forecast_only,forecast_only,327.2917,261.8333,0.0,627.44,0.2202,1090,1.0,2300.0,2
harder_capacity,sla_aware_tuned,heuristic_risk,235.5,188.4,0.0,636.07,0.258,1090,1.0,2300.0,2
harder_capacity,sla_aware_ema_tuned,ema_forecast,219.625,175.7,0.0,636.07,0.2842,1090,1.0,2300.0,2
ablation,sla_aware_ema_tuned,ema_forecast,257.4792,205.9833,0.0,727.6672,0.3289,1090,1.35,2300.0,4
ablation,sla_aware_ema_no_prediction,ema_forecast,247.0,197.6,0.0,750.8161,0.3411,1090,1.35,2300.0,4
ablation,sla_aware_ema_no_queue_external,ema_forecast,251.8333,201.4667,0.0,690.52,0.3345,1090,1.35,2300.0,4
ablation,sla_aware_ema_no_violation,ema_forecast,257.4792,205.9833,0.0,727.6672,0.3289,1090,1.35,2300.0,4
ablation,sla_aware_ema_low_aggr,ema_forecast,240.3958,192.3167,0.0,813.3841,0.3524,1090,1.35,2300.0,4
ablation,sla_aware_ema_high_aggr,ema_forecast,399.375,319.5,0.0,636.9,0.2456,1090,1.35,2300.0,4
